,LAT,LON,CALLE,BRAND,CAPACITY,Distrito
0,37.3978439,-5.9984791,Plaza San Antonio de Padua,Sevici,20,1
1,37.3975405,-5.9966186,Calle de Hernán Cortés,Sevici,17,3
2,37.3968977,-5.993847,Alameda de Hercúles,Sevici,20,1
3,37.40079,-5.9938002,Alameda de Hercúles,Sevici,20,1
4,37.3994884,-5.9909861,Plaza Calderón de la Barca,Sevici,15,3
5,37.4031482,-5.9918576,Calle Feria,Sevici,15,4
6,37.4033474,-5.9890824,Parlamento,Sevici,20,1
7,37.4033446,-5.9880344,Parlamento,Sevici,15,3
8,37.3952732,-6.0101435,Calle del Inca Garcilaso,Sevici,40,1
9,37.3921055,-6.0110319,Calle de Inca Garcilaso,Sevici,40,3
10,37.4025275,-5.977637,Avenida de Miraflores,Sevici,17,2
11,37.4008296,-5.9752218,Carretera de Carmona,Sevici,15,1
12,37.4008477,-5.9794025,Avenida de Miraflores,Sevici,13,1
13,37.3983746,-5.981755,Ronda Capuchinos,Sevici,15,4
14,37.3976114,-5.9839284,Plaza del Pelícano,Sevici,16,4
15,37.3913345,-5.9761846,Estación Renfe Santa Justa,Sevici,40,2
16,37.4038881,-5.9949143,Plaza Duquesa de Alba,Sevici,30,4
17,37.4020564,-5.986329,Calle Muñoz León,Sevici,15,3
18,37.3996998,-5.9839458,Ronda Capuchinos,Sevici,15,2
19,37.389754,-5.9870267,Plaza Pilatos,Sevici,15,3
20,37.3895946,-5.9845523,Plaza San Agustín,Sevici,15,3
21,37.3853038,-5.986738,Paseo Catalina Ribera,Sevici,20,2
22,37.3815369,-5.9892332,Paseo Catalina Ribera,Sevici,20,2
23,37.3883808,-5.9869733,Plaza de las Mercedarias,Sevici,10,1
24,37.3837304,-6.0000313,Calle Betis,Sevici,19,2
25,37.3757089,-6.0056255,Glorieta República Dominicana,Sevici,20,1
26,37.3747244,-6.0023834,Calle Virgen de Luján,Sevici,20,1
27,37.3812765,-6.0010318,Plaza Farmacéutico Murillo Herrera,Sevici,20,2
28,37.3776619,-6.0025472,Avenida Esperanza de Triana,Sevici,14,2
29,37.3865102,-5.9977998,Calle Adriano,Sevici,18,4
30,37.3911108,-6.0031603,Plaza de Armas,Sevici,39,3
31,37.3929261,-5.9993175,Plaza del Museo,Sevici,20,4
32,37.3889438,-5.9952601,Plaza Nueva,Sevici,40,4
33,37.3889073,-5.9955824,Plaza Nueva,Sevici,30,4
34,37.4051157,-5.9747843,Avenida de Llanes,Sevici,20,1
35,37.4039091,-5.972179,Avenida de Llanes,Sevici,17,1
36,37.4071954,-5.9789081,Calle de Madreselva,Sevici,20,3
37,37.4085658,-5.970531,Alcalde Manuel del Valle,Sevici,20,3
38,37.3898408,-5.9911886,Calle Cuesta de Rosario,Sevici,15,1
39,37.4096545,-5.9842555,Calle Doctor Jaime Marcos,Sevici,20,1
40,37.4129322,-5.9848934,Ronda Urbana Norte,Sevici,20,3
41,37.3886194,-6.010298,Calle Alfarería,Sevici,20,1
42,37.3895726,-6.0076755,Plaza Chapina,Sevici,20,2
43,37.3951765,-5.9908929,Plaza San Juan de la Palma,Sevici,15,3
44,37.3942887,-5.9917052,Calle Regina,Sevici,19,2
45,37.3920955,-5.9785982,Calle Jose Laguillo,Sevici,20,4
46,37.3988222,-5.9936337,Alameda de Hércules,Sevici,20,4
47,37.3898804,-5.9744805,Avenida Kansas City,Sevici,18,1
48,37.3966427,-5.9898701,Calle Churruca,Sevici,15,1
49,37.4230116,-5.9665727,Calle Agricultores,Sevici,20,3
50,37.4204849,-5.9678863,Calle Mar de Alborán,Sevici,20,4
51,37.4178443,-5.9692737,Mar de Alborán,Sevici,20,4
52,37.4034791,-5.9812041,Avenida de la Cruz Roja,Sevici,20,3
53,37.4162681,-5.9673386,Calle Pino Montano,Sevici,20,2
54,37.3955925,-6.0024431,Avenida Torneo,Sevici,20,2
55,37.393964,-5.9968487,Plaza de la Concordia,Sevici,19,4
56,37.4219153,-5.9830562,Glorieta de los Ferroviarios,Sevici,15,2
57,37.4219455,-5.9853727,Calle de Salvador Allende,Sevici,15,1
58,37.4129286,-5.9889886,Glorieta Olímpica,Sevici,20,3
59,37.4025422,-5.9700919,Carretera de Carmona,Sevici,15,4
60,37.4049325,-5.9690227,Alcalde Manuel del Valle,Sevici,20,1
61,37.3772116,-5.981927,Calle Doctor Pedro de Castro,Sevici,15,1
62,37.3837427,-5.977445,Avenida Eduardo Dato,Sevici,15,3
63,37.387629,-5.9658559,Calle Luis Montoto,Sevici,19,3
64,37.3871884,-5.9709854,Calle Luis Montoto,Sevici,15,1
65,37.386976,-5.9780512,Avenida la Buhaira,Sevici,20,1
66,37.3875779,-5.9810425,Calle Luis Montoto,Sevici,20,2
67,37.3783622,-5.9794282,Avda. Ramón y Cajal,Sevici,30,2
68,37.3767898,-5.9978311,Calle Virgen de la Victoria,Sevici,15,3
69,37.3870633,-6.0012385,Calle Arjona,Sevici,20,1
70,37.3583986,-5.9864347,Avenida Reina Mercedes,Sevici,25,1
71,37.3681002,-5.9846888,Avenida Cardenal Bueno Monreal,Sevici,20,1
72,37.3660853,-5.975,Calle Alfonso Laso de la Vega,Sevici,19,3
73,37.4056509,-5.9984993,Puerta de la Barqueta,Sevici,40,4
74,37.381594,-5.9652201,Gran Plaza,Sevici,18,3
75,37.4070889,-6.0029652,Camino de los Descubrimientos,Sevici,20,2
76,37.411072,-6.0019106,Camino de los Descubrimientos,Sevici,40,1
77,37.4075399,-6.0074235,Calle Américo Vespucio,Sevici,20,3
78,37.4101736,-6.0056507,Calle Leonardo Da Vinci,Sevici,40,1
79,37.4028157,-6.0040768,Camino de los Descubrimientos,Sevici,20,1
80,37.4014414,-6.0090248,Calle Américo Vespucio,Sevici,20,2
81,37.391543,-5.9684556,Avenida Solea,Sevici,18,3
82,37.3819962,-5.9680625,Avenida Eduardo Dato,Sevici,20,3
83,37.3899255,-5.9708167,Calle Sinaí,Sevici,14,4
84,37.3774781,-5.9608944,Ronda Tamarguillo - Plaza Ruperto Chapí,Sevici,20,1
85,37.3734928,-5.9649124,Glorieta Bizco Amate,Sevici,13,2
86,37.3750834,-5.9675634,Avenida Ramón y Cajal,Sevici,18,2
87,37.4072386,-5.9853451,Calle Dr Marañón,Sevici,15,1
88,37.4066763,-5.9930831,Calle Avicena,Sevici,20,3
89,37.4090933,-5.9909552,Calle José Díaz,Sevici,20,4
90,37.4068864,-5.9891263,Avenida Sánchez Pizjuán,Sevici,40,2
91,37.4047516,-5.9866992,Calle San Juan de Ribera,Sevici,15,2
92,37.4070186,-5.9826416,Calle de Manuel Villalobos,Sevici,20,1
93,37.3867693,-5.9539833,Calle Zorzal,Sevici,15,3
94,37.3875947,-5.9608451,Avenida de Andalucía,Sevici,20,2
95,37.4038631,-5.9835274,Calle León XIII,Sevici,15,2
96,37.3602749,-5.976717,Calle Rafael Salgado,Sevici,18,1
97,37.3825989,-5.9711549,Avenida Eduardo Dato,Sevici,20,2
98,37.4055781,-5.9814785,Calle Manuel Villalobos,Sevici,20,4
99,37.4054796,-5.9303242,Avenida Alcalde Luis Uruñuela,Sevici,15,1
100,37.3944959,-5.921065,Avenida de las Ciencias,Sevici,15,4
101,37.3907156,-5.9591607,Calle de la A.D.A.,Sevici,15,1
102,37.4051738,-5.9331764,Avenida Alcalde Luis Uruñuela,Sevici,16,2
103,37.4038945,-5.9279828,Avenida de las Ciencias,Sevici,14,4
104,37.3874563,-5.919972,Avenida Aeronáutica,Sevici,15,4
105,37.3908025,-5.9196533,Avenida Alcalde Luis Uruñuela,Sevici,12,3
106,37.4041166,-5.9373269,Avenida Alcalde Luis Uruñuela - Aprox. estación de Renfe,Sevici,15,3
107,37.4019539,-5.9417776,Avenida Alcalde Luis Uruñuela,Sevici,14,4
108,37.402591,-5.9405994,Avenida Alcalde Luis Uruñuela - Aprox. Cueva de la Pileta,Sevici,15,2
109,37.3999402,-5.9251411,Calle Médicos Sin Frontera,Sevici,14,3
110,37.4009895,-5.9884718,Plaza Pumarejo,Sevici,15,2
111,37.4016053,-5.9837102,Calle León XIII,Sevici,15,4
112,37.387051,-5.9748439,Calle Luis Montoto,Sevici,17,3
113,37.3753464,-5.9527715,Calle Las Leandras,Sevici,15,3
114,37.376105,-5.9552373,Puerto de los Azores,Sevici,15,1
115,37.3780604,-5.9518787,Avenida Los Gavilanes,Sevici,15,4
116,37.3930879,-5.9706,Avenida Kansas City,Sevici,20,4
117,37.3961217,-5.9668118,Avenida Kansas City,Sevici,20,2
118,37.4000437,-5.9619306,Avenida Kansas City,Sevici,20,2
119,37.4093264,-5.9233566,Ciudad de Chiva,Sevici,15,3
120,37.4029991,-5.9582151,Avenida Kansas City,Sevici,15,4
121,37.4086892,-5.9279635,Calle Ciudad de Liria,Sevici,15,2
122,37.4049803,-5.9358132,Avda. Alcalde Luis Uruñuela - Aprox. Centro Comercial Zona Este,Sevici,30,1
123,37.3914176,-5.9727479,Avenida Kansas City,Sevici,20,4
124,37.395428,-5.9640258,Calle Doctor Laffon,Sevici,20,4
125,37.389342,-5.9995125,Calle Reyes Católicos,Sevici,17,3
126,37.4007128,-5.9265276,Calle Gema,Sevici,15,1
127,37.3809378,-5.9604646,Ronda Tamarguillo,Sevici,20,4
128,37.3881429,-5.9938475,Plaza San Francisco,Sevici,20,1
129,37.392217,-5.9898939,Plaza Cristo de Burgos,Sevici,15,3
130,37.3971581,-6.0062384,Camino de los Descubrimientos,Sevici,40,2
131,37.3964777,-5.9873931,Calle Hiniesta,Sevici,15,2
132,37.399968,-5.9562845,Calle Antioquía - Aprox. Avda de Pedro Romero,Sevici,15,4
133,37.3790534,-5.9899085,Glorieta San Diego,Sevici,15,1
134,37.3929973,-5.9868947,Plaza Jerónimo de Córdoba,Sevici,20,4
